title,reg_number,id
"Agreement concerning arrangements for the holding of the fifth session of the Council of the United Nations Relief and Rehabilitation Administration at the Palais des Nations, Geneva, concluded between the United Nations, the League of Nations and the United Nations Relief and Rehabilitation Administration",1,1
"Declaration recognizing as compulsory the jurisdiction of the Court, in conformity with Article 36, paragraph 2, of the Statute of the International Court of Justice, in all legal disputes concerning the interpretation, application or validity of any treaty relating to the boundaries of British Honduras.  London, 13 February 1946",1,2
"Declaration renewing for a further period of five years, beginning on 12 February 1951, the Declaration recognizing as compulsory the jurisdiction of the Court, in conformity with Article 36, paragraph 2, of the Statute of the International Court of Justice, in all legal disputes concerning the interpretation, application or validity of any treaty relating to the boundaries of British Honduras.  London, 13 February 1946",1,3
"Declaration recognizing as compulsory the jurisdiction of the Court, in conformity with Article 36, paragraph 2, of the Statute of the International Court of Justice.  New York, 10 December 1946",10,4
"Convention between the United Kingdom and France respecting commercial relations between France and the Seychelles Islands, signed at London, April 16, 1902. Denunciation on the part of the United Kingdom",10,5
"Exchange of notes constituting an agreement amending and supplementingthe above-mentioned Agreement, as amended.  Washington, 28 December 1979 and 10 January 1980",100,6
Exchange of notes constituting an agreement amending the Air Transport Agreement between the Government of the United States of America and the Government of the Commonwealth of Australia,100,7
"Exchange of notes constituting an agreement amending the above-mentioned Agreement, as amended",100,9
"Exchange of notes constituting an agreement amending the Agreement of 3 December 1946, as amended",100,10
Memorandum of co-operation. ,1000,11
Geodetic Survey Agreement. ,10000,12
"Exchange of notes constituting an agreement on the establishment in Naha of an Advisory Committee to the High Commissioner of the Ryukyu Islands.  Tokyo, 19 January 1968",10001,13
"Exchange of notes constituting an agreement amending the above-mentioned Agreement of 19 January 1968, as amended.  Montevideo, 7 and 17 April 1970",10002,14
"Exchange of notes constituting an agreement amending the above-mentioned Agreement (with Memorandum of Understanding).  Montevideo, 13 and 27 June 1968",10002,15
Agreement for sales of agricultural commodities. ,10002,16
"Exchange of notes constituting an agreement amending the above-mentioned Agreement.  Montevideo, 4 and 18 March 1970",10002,17
"Exchange of notes constituting an agreement for the establishment at Clark Air Base of a commercial branch by a Philippine bank and relating to United States Treasury facilities at Clark Field Air Base and Sangley Point Navy Base.  Manila, 17 and 23 January 1968",10003,18
Agreement for sales of agricultural commodities. ,10004,19
"Exchange of notes constituting an agreement for economic and technical co-operation.  Dar es Salaam, 8 February 1968",10005,20
"Exchange of notes constituting an agreement concerning the furnishing, on a reimbursement basis, of certain services and materials peculiar to the type of air navigation aids used by the Ministry of Government and Justice of Panama.   Panama, 5 December 1967 and 22 February 1968",10006,21
Investment Guaranty Agreement. ,10007,22
Agreement for sales of agricultural commodities. ,10008,23
Parcel Post Agreement. ,10009,24
Agreement between the Government of Iraq and the Government of Pakistan relating to air services,1001,25
Exchange of notes constituting an agreement amending the annex to the  Agreement between the Government of Iraq and the Government of Pakistan relating to air services,1001,26
Memorandum of understanding on cooperation and assistance,1001,27
Agreement for the development of water resources of Iran. ,10010,28
Agreement for sales of agricultural commodities. ,10011,29
"Exchange of letters constituting an agreement relating to the deployment of USS Shenandoah to Malta.  Valleta, 3 and 16 April 1968",10012,30
Agreement for sales of agricultural commodities. ,10013,31
"Exchange of notes constituting an agreement relating to mutual assistance in the event of natural disasters.  Washington, 3 May 1968",10014,32
Exchange of notes constituting an agreement amending the above-mentioned Agreement. ,10014,33
